audioID,Class,Time_IN,Time_OUT,Gender
Audio_01_00001,1,0,30,M
Audio_01_00001,1,1020,1050,M
Audio_01_00001,1,1050,1080,M
Audio_01_00001,1,1080,1110,M
Audio_01_00001,1,1110,1140,M
Audio_01_00001,1,1140,1170,M
Audio_01_00001,1,1170,1200,M
Audio_01_00001,1,1200,1230,M
Audio_01_00001,1,120,150,M
Audio_01_00001,1,1230,1260,M
Audio_01_00001,1,1260,1290,M
Audio_01_00001,1,1290,1320,M
Audio_01_00001,1,1320,1350,M
Audio_01_00001,1,1350,1380,M
Audio_01_00001,1,1380,1410,M
Audio_01_00001,1,1410,1440,M
Audio_01_00001,1,1440,1470,M
Audio_01_00001,1,1470,1500,M
Audio_01_00001,1,1500,1530,M
Audio_01_00001,1,150,180,M
Audio_01_00001,1,1530,1560,M
Audio_01_00001,1,1560,1590,M
Audio_01_00001,1,1590,1620,M
Audio_01_00001,1,1620,1650,M
Audio_01_00001,1,1650,1680,M
Audio_01_00001,1,1680,1710,M
Audio_01_00001,1,1710,1740,M
Audio_01_00001,1,1740,1770,M
Audio_01_00001,1,1770,1800,M
Audio_01_00001,1,1800,1830,M
Audio_01_00001,1,180,210,M
Audio_01_00001,1,1830,1860,M
Audio_01_00001,1,1860,1890,M
Audio_01_00001,1,1890,1920,M
Audio_01_00001,1,1920,1950,M
Audio_01_00001,1,1950,1980,M
Audio_01_00001,1,1980,2010,M
Audio_01_00001,1,2010,2010,M
Audio_01_00001,1,210,240,M
Audio_01_00001,1,240,270,M
Audio_01_00001,1,270,300,M
Audio_01_00001,1,300,330,M
Audio_01_00001,1,30,60,M
Audio_01_00001,1,330,360,M
Audio_01_00001,1,360,390,M
Audio_01_00001,1,390,420,M
Audio_01_00001,1,420,450,M
Audio_01_00001,1,450,480,M
Audio_01_00001,1,480,510,M
Audio_01_00001,1,510,540,M
Audio_01_00001,1,540,570,M
Audio_01_00001,1,570,600,M
Audio_01_00001,1,600,630,M
Audio_01_00001,1,60,90,M
Audio_01_00001,1,630,660,M
Audio_01_00001,1,660,690,M
Audio_01_00001,1,690,720,M
Audio_01_00001,1,720,750,M
Audio_01_00001,1,750,780,M
Audio_01_00001,1,780,810,M
Audio_01_00001,1,810,840,M
Audio_01_00001,1,840,870,M
Audio_01_00001,1,870,900,M
Audio_01_00001,1,900,930,M
Audio_01_00001,1,90,120,M
Audio_01_00001,1,930,960,M
Audio_01_00001,1,960,990,M
Audio_01_00001,1,990,1020,M
Audio_01_00002,1,0,30,M
Audio_01_00002,1,120,150,M
Audio_01_00002,1,150,180,M
Audio_01_00002,1,180,210,M
Audio_01_00002,1,210,240,M
Audio_01_00002,1,240,270,M
Audio_01_00002,1,270,300,M
Audio_01_00002,1,300,315,M
Audio_01_00002,1,30,60,M
Audio_01_00002,1,60,90,M
Audio_01_00002,1,90,120,M
Audio_01_00003,1,0,30,M
Audio_01_00003,1,120,150,M
Audio_01_00003,1,150,180,M
Audio_01_00003,1,180,210,M
Audio_01_00003,1,210,240,M
Audio_01_00003,1,240,270,M
Audio_01_00003,1,270,300,M
Audio_01_00003,1,300,310,M
Audio_01_00003,1,30,60,M
Audio_01_00003,1,60,90,M
Audio_01_00003,1,90,120,M
Audio_01_00004,1,0,30,M
Audio_01_00004,1,120,150,M
Audio_01_00004,1,150,180,M
Audio_01_00004,1,180,210,M
Audio_01_00004,1,210,240,M
Audio_01_00004,1,240,270,M
Audio_01_00004,1,270,285,M
Audio_01_00004,1,30,60,M
Audio_01_00004,1,60,90,M
Audio_01_00004,1,90,120,M
Audio_01_00005,1,0,30,M
Audio_01_00005,1,120,150,M
Audio_01_00005,1,150,180,M
Audio_01_00005,1,180,210,M
Audio_01_00005,1,210,240,M
Audio_01_00005,1,240,270,M
Audio_01_00005,1,270,300,M
Audio_01_00005,1,300,330,M
Audio_01_00005,1,30,60,M
Audio_01_00005,1,330,360,M
Audio_01_00005,1,360,390,M
Audio_01_00005,1,390,390,M
Audio_01_00005,1,60,90,M
Audio_01_00005,1,90,120,M
Audio_01_00006,1,0,30,M
Audio_01_00006,1,120,150,M
Audio_01_00006,1,150,180,M
Audio_01_00006,1,180,210,M
Audio_01_00006,1,210,240,M
Audio_01_00006,1,240,270,M
Audio_01_00006,1,270,300,M
Audio_01_00006,1,300,330,M
Audio_01_00006,1,30,60,M
Audio_01_00006,1,330,360,M
Audio_01_00006,1,360,390,M
Audio_01_00006,1,390,420,M
Audio_01_00006,1,420,450,M
Audio_01_00006,1,450,480,M
Audio_01_00006,1,480,510,M
Audio_01_00006,1,510,511,M
Audio_01_00006,1,60,90,M
Audio_01_00006,1,90,120,M
Audio_01_00007,1,0,30,F
Audio_01_00007,1,30,60,M
Audio_01_00007,1,60,90,M
Audio_01_00007,1,90,112,M
Audio_01_00008,1,0,30,F
Audio_01_00008,1,120,150,F
Audio_01_00008,1,150,180,F
Audio_01_00008,1,180,210,M
Audio_01_00008,1,210,240,M
Audio_01_00008,1,240,270,M
Audio_01_00008,1,270,300,M
Audio_01_00008,1,300,330,M
Audio_01_00008,1,30,60,M
Audio_01_00008,1,330,360,M
Audio_01_00008,1,360,388,M
Audio_01_00008,1,60,90,M
Audio_01_00008,1,90,120,M
Audio_01_00009,1,0,30,M
Audio_01_00009,1,120,150,M
Audio_01_00009,1,150,180,M
Audio_01_00009,1,180,210,M
Audio_01_00009,1,210,240,M
Audio_01_00009,1,240,270,M
Audio_01_00009,1,270,300,M
Audio_01_00009,1,300,330,M
Audio_01_00009,1,30,60,M
Audio_01_00009,1,330,360,M
Audio_01_00009,1,360,370,M
Audio_01_00009,1,60,90,M
