Name,audioID,Folder,Class,Duration
RS ｜ Tiruchi Siva_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00001.mp3,1,1,2010.01
Vijay Kumar Hansdak’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00002.mp3,1,1,315.03
"LS ｜ Sudhakar Singh_s Remarks ｜ The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00003.mp3,1,1,400.01
Durai Vaiko_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00004.mp3,1,1,285.02
"LS ｜ Brijmohan Agrawal’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00005.mp3,1,1,390.03
Rajesh Ranjan A. Pappu Yadav’s Remarks｜ Discussion on the Journey of 75 Years of the Constitution.mp3,Audio_01_00006.mp3,1,1,511.72
"Voting & Passing ｜ The Appropriation (No.3) Bill, 2024 ｜ 17 December, 2024.mp3",Audio_01_00007.mp3,1,1,115.01
"LS ｜ Papers laid on the table ｜  Standing Committee Report ｜  17 Dec, 2024.mp3",Audio_01_00008.mp3,1,1,390.0
Dr. M.P. Abdussamad Samadani_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00009.mp3,1,1,370.03
Rahul Kaswan_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00010.mp3,1,1,400.01
"LS ｜ Dinesh Chandra Yadav’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00011.mp3,1,1,440.02
Sougata Ray_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00012.mp3,1,1,414.16
LS ｜ Sayani Ghosh_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00013.mp3,1,1,600.03
Sachithanantham_s R. Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00014.mp3,1,1,285.02
Umeshbhai B. Patel_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of In.mp3,Audio_01_00015.mp3,1,1,245.02
LS ｜ Sougata Ray_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00016.mp3,1,1,690.0
"LS ｜ V. Vaithilingam_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00017.mp3,1,1,285.01
LS ｜ Supriya Sule_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00018.mp3,1,1,685.04
"LS ｜ Sudhakar Singh_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00019.mp3,1,1,465.03
"LS ｜ Hanuman Beniwal’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00020.mp3,1,1,364.99
"LS ｜ Supriya Sule_s Remarks ｜The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00021.mp3,1,1,585.0
LS ｜ Manish Tewari_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00022.mp3,1,1,705.17
LS ｜ Sudhakar Singh_s Remarks｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00023.mp3,1,1,365.02
LS ｜ C. N. Annadurai_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00024.mp3,1,1,270.02
"LS ｜ K. Subbarayan_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00025.mp3,1,1,304.99
The First Presidential Debate： Hillary Clinton And Donald Trump (Full Debate) ｜ NBC News.mp3,Audio_01_00026.mp3,1,1,5937.77
Akhilesh Yadav’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00027.mp3,1,1,1750.02
"LS ｜ Ganesh Singh’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00028.mp3,1,1,615.0
LS ｜ Darshan Singh Choudhary_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00029.mp3,1,1,485.02
Awadhesh Prasad’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00030.mp3,1,1,535.03
LS ｜ D. M. Kathir Anand_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00031.mp3,1,1,695.02
LIVE： Former President Joe Biden Delivers a Speech Following Donald Trump_s inauguration ｜ N18G.mp3,Audio_01_00032.mp3,1,1,14220.02
LS ｜ Dr. Gumma Thanuja Rani_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00033.mp3,1,1,380.02
Vishaldada Prakashbapu Patil_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00034.mp3,1,1,270.0
JUST CHATTING 🔥✨#payalgaming #payalgaminglive.mp3,Audio_01_00035.mp3,1,1,4520.02
LS ｜ Anand Bhadauriya_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00036.mp3,1,1,310.01
"LS ｜ Winter Session ｜ Time： 11_00 AM - 11： 02 AM ｜ 18 December, 2024.mp3",Audio_01_00037.mp3,1,1,160.01
FM Nirmala Sitharaman_s Reply ｜ Supplementary Demands for Grants - First Batch for 2024-2025.mp3,Audio_01_00038.mp3,1,1,3750.02
Alfred Kanngam S.Arthur Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00039.mp3,1,1,383.12
Smt. Pratibha Patil at The National Conference Of Women Legislators.mp3,Audio_01_00040.mp3,1,1,976.72
"LS ｜ Durai Vaiko_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00041.mp3,1,1,240.0
"LS ｜ Question Hour ｜ Winter Session 2024 ｜ 11_00 AM - 12_00 PM ｜ 17 December, 2024.mp3",Audio_01_00042.mp3,1,1,3570.0
"MoS (IC) Arjun Ram Meghwal moves The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00043.mp3,1,1,185.02
RS ｜ Dr. Dinesh Sharma_s Remarks ｜ Discussion on Journey of 75 Years of Constitution of India.mp3,Audio_01_00044.mp3,1,1,935.02
"LS ｜ Lovely Anand’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00045.mp3,1,1,195.02
"LS ｜ Dr. Gumma Thanuja Rani’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00046.mp3,1,1,505.01
"LS ｜ Anil Baluni’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00047.mp3,1,1,429.99
"LS ｜ Captain Viriato Fernandes’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00048.mp3,1,1,549.24
