Name,audioID,Folder,Class,Duration,Gender
RS ｜ Tiruchi Siva_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00001.mp3,1,1,2010.01,M
Vijay Kumar Hansdak’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00002.mp3,1,1,315.03,M
"LS ｜ Sudhakar Singh_s Remarks ｜ The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00003.mp3,1,1,400.01,M
Durai Vaiko_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00004.mp3,1,1,285.02,M
"LS ｜ Brijmohan Agrawal’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00005.mp3,1,1,390.03,M
Rajesh Ranjan A. Pappu Yadav’s Remarks｜ Discussion on the Journey of 75 Years of the Constitution.mp3,Audio_01_00006.mp3,1,1,511.72,M
"Voting & Passing ｜ The Appropriation (No.3) Bill, 2024 ｜ 17 December, 2024.mp3",Audio_01_00007.mp3,1,1,115.01,F
"LS ｜ Papers laid on the table ｜  Standing Committee Report ｜  17 Dec, 2024.mp3",Audio_01_00008.mp3,1,1,390,F
Dr. M.P. Abdussamad Samadani_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00009.mp3,1,1,370.03,M
Rahul Kaswan_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00010.mp3,1,1,400.01,M
"LS ｜ Dinesh Chandra Yadav’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00011.mp3,1,1,440.02,M
Sougata Ray_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00012.mp3,1,1,414.16,M
LS ｜ Sayani Ghosh_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00013.mp3,1,1,600.03,F
Sachithanantham_s R. Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00014.mp3,1,1,285.02,F
Umeshbhai B. Patel_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of In.mp3,Audio_01_00015.mp3,1,1,245.02,M
LS ｜ Sougata Ray_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00016.mp3,1,1,690,M
